ESCOURI,ID,UUIDHISTORY,CODE,PREFERREDLABEL,DESCRIPTION
http://data.europa.eu/esco/isced-f/0612,key_17640,618f2372-2863-43b3-b11f-d546f6348e56,,vytváření a správa databází a sítí,
http://data.europa.eu/esco/isced-f/0613,key_17641,68ed25fe-cf8f-46c3-a274-1a89009980aa,,vývoj a analýza softwaru a aplikací,
http://data.europa.eu/esco/isced-f/0619,key_17642,7f057957-651b-42a8-863b-d6303b8889e8,,informační a komunikační technologie (ikt) jinde neklasifikované,
http://data.europa.eu/esco/isced-f/068,key_17643,2f9e5e64-4176-41aa-a635-68ef2a1cdcdb,,interdisciplinární programy a kvalifikace zahrnující informační a komunikační technologie (ikt),
http://data.europa.eu/esco/isced-f/0688,key_17644,0e575878-f1cc-4095-ae08-30b26ccce44c,,interdisciplinární programy a kvalifikace zahrnující informační a komunikační technologie (ikt),
http://data.europa.eu/esco/isced-f/07,key_17645,de28b3e2-2f8a-4294-970b-420796504ed0,,"technické vědy, výroba a stavebnictví",
http://data.europa.eu/esco/isced-f/070,key_17646,0eed8836-83f8-4c1d-ad17-2027fe0d7735,,"technické vědy, výroba a stavebnictví dále nedefinované",
http://data.europa.eu/esco/isced-f/0700,key_17647,a8e2bdfe-b5ee-44af-b4fa-f5b77b38f48c,,"technické vědy, výroba a stavebnictví dále nedefinované",
http://data.europa.eu/esco/isced-f/071,key_17648,fc988695-4120-4926-aa85-d54ef9440811,,technické vědy a technické obory,
http://data.europa.eu/esco/isced-f/0710,key_17649,c8906758-cc58-4c1a-a8ca-a1ab507b298a,,technické vědy a technické obory dále nedefinované,
http://data.europa.eu/esco/isced-f/0711,key_17650,f9526474-75de-427a-b122-08b9bb1c6cdd,,chemické inženýrství a výroby,
http://data.europa.eu/esco/isced-f/0712,key_17651,ef27c3fb-433b-40f2-9a10-a99b49af8b7d,,technologie ochrany životního prostředí,
http://data.europa.eu/esco/isced-f/0713,key_17652,182dad00-47a8-44b2-a340-b4be285854ae,,elektrotechnika a energetika,
http://data.europa.eu/esco/isced-f/0714,key_17653,63e9c4b7-a8af-4649-a110-75082504857d,,elektronika a automatizace,
