ESCOURI,ID,UUIDHISTORY,PREFERREDLABEL,CODE
http://data.europa.eu/esco/isco/C221,key_91,96e2f277-6857-4f90-9d5e-b70450ad7bdc,"Lékaři (kromě stomatologů, dietologů a audiologů)",221
http://data.europa.eu/esco/isco/C2211,key_92,1e804087-a21b-4d12-923a-fc3caaaff24d,Všeobecní a praktičtí lékaři,2211
http://data.europa.eu/esco/isco/C2212,key_93,c574beb0-1145-42e8-bd99-c33a735437e8,"Lékaři s odbornou specializací (kromě praktických lékařů, stomatologů, dietologů a audiologů)",2212
http://data.europa.eu/esco/isco/C222,key_94,e1a192e8-7294-4576-87f3-6bd6f5a02493,Specialisté v oblasti ošetřovatelství a porodnictví,222
http://data.europa.eu/esco/isco/C2221,key_95,6e53e95c-34ac-45c2-8196-9d9fb65a1e44,Specialisté v oblasti ošetřovatelství,2221
http://data.europa.eu/esco/isco/C2222,key_96,e341bf47-0a4f-4bf2-a6a2-26f1f604ba42,Specialisté v oblasti porodnictví,2222
http://data.europa.eu/esco/isco/C223,key_97,5f79ec96-f3f9-4403-9b69-2df3b37596c9,Specialisté v oblasti tradiční a alternativní medicíny,223
http://data.europa.eu/esco/isco/C2230,key_98,af4735ce-cd92-4616-abb3-4794afc64cb5,Specialisté v oblasti tradiční a alternativní medicíny,2230
http://data.europa.eu/esco/isco/C224,key_99,e13e1d65-f239-4c7d-9348-0c5d9180ecaf,Nelékařští praktici,224
http://data.europa.eu/esco/isco/C2240,key_100,c92077dc-5947-4695-b77c-8e4feeecca0a,Nelékařští praktici,2240
http://data.europa.eu/esco/isco/C225,key_101,85318828-f3a8-4cf3-8107-eb8e98898e2b,Veterinární lékaři,225
http://data.europa.eu/esco/isco/C2250,key_102,2a7d035a-9171-444f-bb6c-68de470c54aa,Veterinární lékaři,2250
http://data.europa.eu/esco/isco/C226,key_103,811e99a7-a448-4c8e-8bd6-ee2294468464,Ostatní specialisté v oblasti zdravotnictví,226
http://data.europa.eu/esco/isco/C2261,key_104,c4c2eed8-e0f7-47ac-97d4-70732dc014d0,Zubní lékaři,2261
http://data.europa.eu/esco/isco/C2262,key_105,67b5eec4-bed3-438f-b470-c24fbc0de9e8,Farmaceuti,2262
http://data.europa.eu/esco/isco/C2263,key_106,87b921a5-0df8-418a-b043-068ef1da7f35,Specialisté v oblasti ochrany veřejného zdraví,2263
http://data.europa.eu/esco/isco/C2264,key_107,b7e8e6f8-20b8-45fb-a108-d2a1d9abbb17,Fyzioterapeuti,2264
